CURRENT — Tax Packet Checklist 2025,,,
Approach,Ship LOCKED facts now; plug TBD as docs arrive. Packet is living draft.,,
Packet,CPA PACKET 2025 WORKING DRAFT v1.1 in this folder,,
Updated,2026-09-18 (CC answers),,
,,,
Status key,LOCKED = use; WORKING = near-final; TBD = waiting on doc; FLAG = CPA decide,,
,,,
Item,Status,Notes,Folder
W-2 + 1099 NEC,LOCKED,Provided,07
UTMA brokerage,LOCKED,On file,07
STR Airbnb + VRBO platform PDFs,LOCKED,Combined net $17086.94,03
524 Closing Statement + purchase CD,LOCKED,Sold $600k 2025-12-18,03
827 Grove purchase CD,LOCKED,$670k close 2025-12-18,03/05
TY2025 CapEx CPA line,LOCKED,$53660 only,05
Unit 2 2023 dep + basis,LOCKED,dep $7090; basis $203434,prior taxes
Childcare BrightWheel rules,LOCKED,CPA allocates Aug $23361.05,06
Kids Empire + babysitting,LOCKED,EXCLUDED from 2441,06
Operating Snapshot + Monarch CSV,WORKING,2521 TY2025 txns,02
Oak Park LTR + vacancy accounting,WORKING,Need exact vacant months,04
2024 Form 1040 client copy,TBD,Engagement letter is NOT the return,01
Unit 2 2024 dep + 2025 stub,TBD,Needs 2024 return,C
Sec 121 allocation,TBD,CPA,C
BrightWheel / La Casa EIN+address,LOCKED,EIN 45-5289483; 608 Harrison St Oak Park IL 60304,06
CapEx UNKNOWN $9401.93,TBD,Dates/amounts,05
Radon $2550 on CD vs CapEx,FLAG,CPA decide,D
Smoke detector $,TBD,Oak Park,04
Monarch TAX tags,TBD,Optional polish,02
ComEd 524 electric,FLAG,REMIND JACOB: double-check with Megan (checking ACH Jacob $829.15 / Megan $1565.26; extra check?),02
March HD + remaining HD/Lowes/IKEA,WORKING,March HD $1358.65 → 524 repairs 50/50; remaining 1/3 524 / 1/3 personal / 1/3 Grove,07
EPGC Travel + inventory,WORKING,Park Chicago + Field Museum $53 EPGC; Frame Up/LAMA/Hindman inventory not P&L,07
,,,
Next docs that unlock rows,,,
1,2024 Form 1040 → Unit 2 dep 2024 + cumulative,,
2,DONE — Form 2441 Part I provider EIN/address locked,,
3,Oak Park vacant months + smoke $ → Sch E vacancy log,,
4,CapEx UNKNOWN dates → finalize register,,
5,REMIND JACOB — ask Megan about ComEd (checking ACH vs extra check; meters),,
